timeFrom;timeTo;GasBolier;OilBoiler;GasMotor;ElectricBoiler
14.07.2023 13.00.00;14.07.2023 14.00.00;0,35;0;0;0
14.07.2023 14.00.00;14.07.2023 15.00.00;0,33;0;0;0
14.07.2023 15.00.00;14.07.2023 16.00.00;0,31;0;0;0
14.07.2023 16.00.00;14.07.2023 17.00.00;0,31;0;0;0
14.07.2023 17.00.00;14.07.2023 18.00.00;0,31;0;0;0
14.07.2023 18.00.00;14.07.2023 19.00.00;0;0;0,43;0
14.07.2023 19.00.00;14.07.2023 20.00.00;0;0;0,43;0
14.07.2023 20.00.00;14.07.2023 21.00.00;0;0;0,44;0
14.07.2023 21.00.00;14.07.2023 22.00.00;0;0;0,44;0
14.07.2023 22.00.00;14.07.2023 23.00.00;0,31;0;0;0
14.07.2023 23.00.00;15.07.2023 00.00.00;0,32;0;0;0
